yearquarter,year,quarter,date,mu_pool_w,k_pool0_w,coeff_cons_pool,coeff_btm_pool,coeff_lroe_pool,btm,lroe,mu_pool2_w,k_pool20_w,coeff_cons_pool2,coeff_btm_pool2,coeff_lroe_pool2,var_cum,tcmnom_m1,tcmnom_m3,tcmnom_m6,tcmnom_y1,tcmnom_y2,tcmnom_y3,tcmnom_y5,tcmnom_y10,tcmnom_y20,tcmnom_y30,month
1986q1,1986,1,31mar1986,.0305828,.9741067,.0200676,.0356343,.2965776,-.5893509,.0222233,.0305828,.9741067,.0200676,.0356343,.2965776,.0323907,,6.76,6.89,6.72,6.92,7.02,7.19,7.39,,7.44,3
1986q2,1986,2,30jun1986,.0318851,.976624,.0230543,.0331423,.2822797,-.6190756,.018718,.0318851,.9766172,.022919,.033149,.2821493,.0321218,,6.4,6.56,6.41,6.81,7,7.23,7.35,,7.24,6
1986q3,1986,3,30sep1986,.0295337,.9705616,.0192355,.039144,.2482534,-.5002133,.0213173,.0293272,.9705666,.0186438,.039139,.2456854,.032454,,5.35,5.57,5.82,6.38,6.68,6.98,7.45,,7.6,9
1986q4,1986,4,31dec1986,.0262372,.9717737,.0203918,.037944,.2565486,-.4867951,.0199786,.025942,.9720271,.0203534,.0376932,.2558103,.0321399,,5.68,5.78,5.95,6.35,6.56,6.81,7.23,,7.49,12
1987q1,1987,1,31mar1987,.0319757,.9741979,.0223781,.0355441,.2178833,-.6664477,.0189423,.0321265,.9754544,.0225066,.0343001,.2138928,.0320534,,5.77,5.86,6.15,6.54,6.79,7.02,7.51,,7.81,3
1987q2,1987,2,30jun1987,.0328298,.9742854,.0236049,.0354574,.1964903,-.6506579,.0194157,.0327849,.9747337,.022911,.0350136,.1984475,.0317293,,5.85,6.28,6.77,7.48,7.76,8.02,8.38,,8.51,6
1987q3,1987,3,30sep1987,.0335613,.9735394,.0233183,.036196,.188921,-.683911,.0202493,.0333048,.9737,.0226913,.036037,.1924995,.03166,,6.62,6.99,7.92,8.6,8.93,9.21,9.63,,9.79,9
1987q4,1987,4,31dec1987,.0212599,.9621354,.0094191,.047486,.2704905,-.2806431,.0210735,.0206099,.963429,.0090638,.0462053,.277312,.0340107,,5.96,6.68,7.1,7.77,8.04,8.33,8.83,,8.95,12
1988q1,1988,1,31mar1988,.0295242,.9657684,.0152205,.0438893,.2445746,-.4278285,.0202095,.0271935,.96478,.0126948,.0448678,.2503577,.0339408,,5.87,6.18,6.76,7.41,7.66,8.04,8.57,,8.82,3
1988q2,1988,2,30jun1988,.0339769,.9667091,.0199547,.042958,.2291702,-.4620864,.02054,.0277417,.9668667,.0134128,.0428019,.2323973,.0331749,,6.66,7.04,7.5,8.02,8.18,8.41,8.82,,8.87,6
1988q3,1988,3,30sep1988,.0281007,.966489,.0168097,.0431759,.2332881,-.4329279,.023103,.0246952,.9671764,.0128985,.0424954,.2390616,.0331533,,7.48,7.82,8.13,8.43,8.52,8.61,8.87,,8.98,9
1988q4,1988,4,30dec1988,.0298145,.9653233,.0205749,.04433,.233784,-.3813219,.0215052,.0218612,.9671504,.0120878,.0425211,.2366256,.0322234,,8.35,8.7,9.02,9.14,9.18,9.14,9.14,,9,12
1989q1,1989,1,31mar1989,.0273855,.9679363,.0206514,.041743,.2319402,-.4360709,.0211995,.0214602,.9684965,.0134136,.0411885,.2323395,.0317993,,9.14,9.39,9.64,9.73,9.66,9.53,9.3,,9.11,3
1989q2,1989,2,30jun1989,.0356723,.9675829,.0256489,.0420929,.2222236,-.4672522,.0207832,.0223354,.9682205,.0144444,.0414617,.2254037,.0318035,,8.43,8.38,8.12,8.08,8.05,8.03,8.1,,8.05,6
